tanggal,ihsg,usd_idr,ihsg_ret_1,ihsg_ret_5,ihsg_ret_20,ihsg_sma20,usd_ret_1,usd_ret_5,usd_ret_20,usd_sma20
2021-08-30,6144.90185546875,14411.0,,,,,,,,
2021-08-31,6150.298828125,14362.0,0.0008782845980601639,,,,-0.003400180417736487,,,
2021-09-01,6090.93310546875,14246.5,-0.009652494019440794,,,,-0.008042055424035688,,,
2021-09-02,6078.22900390625,14269.2001953125,-0.0020857397943007117,,,,0.001593387520619105,,,
2021-09-03,6126.9208984375,14245.5,0.008010868708625107,,,,-0.001660933688510835,,,
2021-09-06,6126.93798828125,14256.0,2.789303800820875e-06,-0.002923377396420568,,,0.0007370748657471449,-0.010755672749982681,,
2021-09-07,6112.39990234375,14231.400390625,-0.0023728142777528216,-0.006162127538899442,,,-0.0017255618248457338,-0.00909341382641693,,
2021-09-08,6026.02001953125,14279.2001953125,-0.014131909592397296,-0.010657330299559176,,,0.0033587562274608462,0.0022953143096549056,,
2021-09-09,6068.21923828125,14326.400390625,0.007002834144796299,-0.0016468227206587471,,,0.003305520944232976,0.00400864761371067,,
2021-09-10,6094.873046875,14258.7998046875,0.004392360847084165,-0.005230661876289733,,0.998836385978009,-0.004718602307229758,0.0009336144528095947,,0.9979144007974834
2021-09-13,6088.1572265625,14196.0,-0.0011018802624516155,-0.00632955022442272,,0.9979412015665858,-0.004404284059507879,-0.004208754208754217,,0.9941049835703285
2021-09-14,6129.09521484375,14291.599609375,0.006724200239546674,0.0027313841971625674,,1.0042622760117605,0.006734263833122034,0.004230027762387678,,1.0007328709097147
2021-09-15,6110.22900390625,14249.7001953125,-0.0030781396398947836,0.013974229110103487,,1.0010808409392962,-0.0029317511830526666,-0.002065942041325597,,0.9979679369960562
2021-09-16,6109.94189453125,14264.5,-4.698831661076319e-05,0.006875601327452685,,1.0009598879665225,0.0010386046362131918,-0.004320721809890737,,0.9990754774402054
2021-09-17,6133.24609375,14283.900390625,0.0038141441638928075,0.006295955072382453,,1.0044577605418945,0.0013600470135650689,0.0017603575533229332,,1.0004053041882985
2021-09-20,6076.31494140625,14221.0,-0.009282385130732762,-0.0019451345810489462,,0.9954367341592818,-0.004403586478822219,0.001761059453367242,,0.9962489993442027
2021-09-21,6060.7568359375,14320.5,-0.0025604508026290107,-0.01114983150216764,,0.9933035207300207,0.006996695028478994,0.002022194255011378,,1.0030294966428477
2021-09-22,6108.26513671875,14237.5,0.007838674618910302,-0.0003214064785860282,,1.001029102424414,-0.0057958870151182396,-0.0008561720699579167,,0.9973703081221678
2021-09-23,6142.7119140625,14279.2001953125,0.005639371666543935,0.0053633929907879185,,1.0063207794652385,0.002928898705004457,0.0010305440297591062,,1.0002761581351187
2021-09-24,6144.81494140625,14286.5,0.00034236138258991744,0.001886251991101373,,1.006329930051024,0.0005112194371990064,0.00018199576473576506,,1.0007481133545733
2021-09-27,6122.4951171875,14251.0,-0.0036323021004831535,0.007600029989650592,-0.0036463948177315464,1.0028586366319001,-0.00248486333251674,0.0021095562899937637,-0.011102629935465957,0.9988211185535851
2021-09-28,6113.11181640625,14242.5,-0.0015325942449359031,0.008638356872908926,-0.006046374779172581,1.0016267164738555,-0.000596449371973895,-0.0054467371949303844,-0.00832056816599358,0.9986435788450477
2021-09-29,6162.55419921875,14318.599609375,0.008087923842617695,0.008887803866543198,0.011758640672919984,1.0091356847826483,0.005343135641565633,0.005696197322212493,0.005060864729933723,1.0037257542078906
2021-09-30,6286.94287109375,14385.0,0.020184596817139466,0.023480013233416086,0.03433794071486407,1.0277483888932881,0.004637352285591145,0.007409364897218218,0.008115367582097521,1.0079712737383801
2021-10-01,6228.84521484375,14328.599609375,-0.009241002732364945,0.01367498846405768,0.016635487563131823,1.0174033684430313,-0.0039207779370872275,0.0029468105816679024,0.005833393659401276,1.003727013492163
2021-10-04,6342.68603515625,14301.0,0.018276392555270027,0.03596424558193845,0.03521302929581682,1.0341756285774641,-0.0019261902856816393,0.0035085257174936046,0.0031565656565657463,1.0016357725967273
2021-10-05,6288.048828125,14300.5,-0.00861420646212141,0.02861668769893222,0.02873649116346244,1.0238009649218065,-3.496259002866431e-05,0.004072318764261951,0.004855432879291355,1.0013584387757246
2021-10-06,6417.3232421875,14246.0,0.020558748444236885,0.04134146893199708,0.06493559951476713,1.0415311921786643,-0.0038110555574979443,-0.005070300962076391,-0.0023250738737733423,0.9976581721512017
